idplanmed,idestcub,idfustemed,plantio,numarv,datamedicao,dap,ht,seq,hi,dicc1,dicc2,espcasca
1,1,32,1,990,2004-12-10,"15,4","24,2",13,20,"5,1","5,1","0,2"
1,1,32,1,990,2004-12-10,"15,4","24,2",14,22,"3,1","3,1","0,1"
1,1,33,1,991,2004-12-10,"17,8","24,5",1,"0,1","21,2","21,2","0,9"
1,1,33,1,991,2004-12-10,"17,8","24,5",2,"0,7","18,7","18,7","0,6"
1,1,33,1,991,2004-12-10,"17,8","24,5",3,"1,3","17,8","17,8","0,6"
1,1,33,1,991,2004-12-10,"17,8","24,5",4,2,"16,4","16,4","0,4"
1,1,33,1,991,2004-12-10,"17,8","24,5",5,4,"15,6","15,6","0,4"
1,1,33,1,991,2004-12-10,"17,8","24,5",6,6,"14,7","14,7","0,4"
1,1,33,1,991,2004-12-10,"17,8","24,5",7,8,"13,7","13,7","0,4"
1,1,33,1,991,2004-12-10,"17,8","24,5",8,10,"12,3","12,3","0,3"
1,1,33,1,991,2004-12-10,"17,8","24,5",9,12,"11,2","11,2","0,3"
1,1,33,1,991,2004-12-10,"17,8","24,5",10,14,"10,1","10,1","0,3"
1,1,33,1,991,2004-12-10,"17,8","24,5",11,16,9,9,"0,3"
1,1,33,1,991,2004-12-10,"17,8","24,5",12,18,"7,6","7,6","0,3"
1,1,33,1,991,2004-12-10,"17,8","24,5",13,20,"5,8","5,8","0,2"
1,1,33,1,991,2004-12-10,"17,8","24,5",14,22,"3,6","3,6","0,2"
1,1,34,1,992,2004-12-10,"18,8","25,5",1,"0,1","21,4","21,4","1,1"
1,1,34,1,992,2004-12-10,"18,8","25,5",2,"0,7","19,5","19,5","0,7"
1,1,34,1,992,2004-12-10,"18,8","25,5",3,"1,3","18,8","18,8","0,5"
1,1,34,1,992,2004-12-10,"18,8","25,5",4,2,"17,2","17,2","0,4"
1,1,34,1,992,2004-12-10,"18,8","25,5",5,4,"16,3","16,3","0,4"
1,1,34,1,992,2004-12-10,"18,8","25,5",6,6,"15,3","15,3","0,4"
1,1,34,1,992,2004-12-10,"18,8","25,5",7,8,"14,6","14,6","0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",8,10,"13,1","13,1","0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",9,12,12,12,"0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",10,14,"11,2","11,2","0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",11,16,"9,5","9,5","0,3"
1,1,34,1,992,2004-12-10,"18,8","25,5",12,18,8,8,"0,3"
